[2020-12-13 14:27:12,799][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:12,799][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,078][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,079][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,312][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,312][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,530][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,530][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,744][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,744][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:13,946][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:13,947][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:14,163][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:14,163][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:31,020][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:27:31,020][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
[2020-12-13 14:27:50,110][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2020-12-13 14:27:50,111][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET / HTTP/1.1" 404 77]
[2020-12-13 14:27:51,915][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2020-12-13 14:27:51,915][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET / HTTP/1.1" 404 77]
[2020-12-13 14:27:55,944][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][INFO]["GET /admin HTTP/1.1" 301 0]
[2020-12-13 14:27:55,961][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][INFO]["GET /admin/ HTTP/1.1" 302 0]
[2020-12-13 14:27:56,005][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][INFO]["GET /admin/login/?next=/admin/ HTTP/1.1" 200 1819]
[2020-12-13 14:27:56,051][Thread-1:123145464365056][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/css/base.css]
[2020-12-13 14:27:56,051][Thread-1:123145464365056][task_id:django.server][basehttp.py:154][WARNING]["GET /static/admin/css/base.css HTTP/1.1" 404 77]
[2020-12-13 14:27:56,053][Thread-2:123145469620224][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/css/login.css]
[2020-12-13 14:27:56,057][Thread-3:123145474875392][task_id:django.request][log.py:228][WARNING][Not Found: /static/admin/css/responsive.css]
[2020-12-13 14:27:56,058][Thread-3:123145474875392][task_id:django.server][basehttp.py:154][WARNING]["GET /static/admin/css/responsive.css HTTP/1.1" 404 77]
[2020-12-13 14:27:56,059][Thread-2:123145469620224][task_id:django.server][basehttp.py:154][WARNING]["GET /static/admin/css/login.css HTTP/1.1" 404 77]
[2020-12-13 14:28:11,669][Thread-3:123145474875392][task_id:django.request][log.py:228][WARNING][Not Found: /]
[2020-12-13 14:28:11,669][Thread-3:123145474875392][task_id:django.server][basehttp.py:154][WARNING]["GET / HTTP/1.1" 404 77]
[2020-12-13 14:29:14,991][MainThread:4498324928][task_id:django.utils.autoreload][autoreload.py:211][INFO][/Users/caimengxuan/Desktop/meit/meiduo_mall/meiduo/meiduo/settings/dev.py changed, reloading.]
[2020-12-13 14:29:15,387][MainThread:4496883136][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:29:52,692][MainThread:4496883136][task_id:django.utils.autoreload][autoreload.py:211][INFO][/Users/caimengxuan/Desktop/meit/meiduo_mall/meiduo/meiduo/settings/dev.py changed, reloading.]
[2020-12-13 14:32:26,374][MainThread:4439018944][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:32:37,629][MainThread:4600712640][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:32:57,233][MainThread:4600712640][task_id:django.utils.autoreload][autoreload.py:211][INFO][/Users/caimengxuan/Desktop/meit/meiduo_mall/meiduo/meiduo/settings/dev.py changed, reloading.]
[2020-12-13 14:33:17,793][MainThread:4638178752][task_id:django.utils.autoreload][autoreload.py:584][INFO][Watching for file changes with StatReloader]
[2020-12-13 14:33:23,230][Thread-1:123145434959872][task_id:django.request][log.py:228][WARNING][Not Found: /static/images/adv01.jpg]
[2020-12-13 14:33:23,230][Thread-1:123145434959872][task_id:django.server][basehttp.py:154][WARNING]["GET /static/images/adv01.jpg HTTP/1.1" 404 77]
